run,threads,speedup,efficiency,time_seq,time_par
1,1,0.9751,0.9751,108.813943,111.587336
1,2,1.3736,0.6868,108.813943,79.218419
1,3,1.7755,0.5918,108.813943,61.285958
1,4,2.1742,0.5436,108.813943,50.046981
1,5,2.4309,0.4862,108.813943,44.763198
1,6,2.5495,0.4249,108.813943,42.681173
1,7,2.0319,0.2903,108.813943,53.551539
1,8,2.0644,0.2581,108.813943,52.709168
1,9,2.0420,0.2269,108.813943,53.288567
1,10,2.0300,0.2030,108.813943,53.603647
1,11,2.0082,0.1826,108.813943,54.184295
1,12,1.9895,0.1658,108.813943,54.695204
2,1,0.9197,0.9197,108.813943,118.308292
2,2,1.5267,0.7634,108.813943,71.273696
2,3,2.0886,0.6962,108.813943,52.099224
2,4,2.4299,0.6075,108.813943,44.781898
2,5,2.8052,0.5610,108.813943,38.789794
2,6,2.8328,0.4721,108.813943,38.411721
2,7,2.2255,0.3179,108.813943,48.894633
2,8,2.0443,0.2555,108.813943,53.228773
2,9,2.0237,0.2249,108.813943,53.769702
2,10,1.9970,0.1997,108.813943,54.487348
2,11,1.9847,0.1804,108.813943,54.826530
2,12,2.1974,0.1831,108.813943,49.519112
3,1,0.9307,0.9307,108.813943,116.911652
3,2,1.5500,0.7750,108.813943,70.203236
3,3,2.0303,0.6768,108.813943,53.594198
3,4,2.2900,0.5725,108.813943,47.517549
3,5,2.5039,0.5008,108.813943,43.457913
3,6,2.4908,0.4151,108.813943,43.687019
3,7,1.9892,0.2842,108.813943,54.702060
3,8,2.0227,0.2528,108.813943,53.796647
3,9,2.0011,0.2223,108.813943,54.378108
3,10,1.9528,0.1953,108.813943,55.720708
3,11,1.9699,0.1791,108.813943,55.239363
3,12,1.9932,0.1661,108.813943,54.592557
4,1,0.9153,0.9153,108.813943,118.884607
4,2,1.5027,0.7514,108.813943,72.410304
4,3,1.9674,0.6558,108.813943,55.307950
4,4,2.1662,0.5416,108.813943,50.232247
4,5,2.6211,0.5242,108.813943,41.515372
4,6,2.9045,0.4841,108.813943,37.464432
4,7,2.1960,0.3137,108.813943,49.551588
4,8,2.2344,0.2793,108.813943,48.698935
4,9,2.0434,0.2270,108.813943,53.250892
4,10,2.1965,0.2196,108.813943,49.540817
4,11,2.1654,0.1969,108.813943,50.251675
4,12,2.2410,0.1868,108.813943,48.555522
5,1,0.9221,0.9221,108.813943,118.009680
5,2,1.5021,0.7510,108.813943,72.443608
5,3,2.0526,0.6842,108.813943,53.011739
5,4,2.2474,0.5619,108.813943,48.417049
5,5,2.3860,0.4772,108.813943,45.604933
5,6,2.0427,0.3404,108.813943,53.270281
5,7,1.9262,0.2752,108.813943,56.491136
5,8,2.0942,0.2618,108.813943,51.960775
5,9,2.0679,0.2298,108.813943,52.619903
5,10,2.0748,0.2075,108.813943,52.445505
5,11,1.9982,0.1817,108.813943,54.456078
5,12,2.0323,0.1694,108.813943,53.543469
